,NUMBER,STREET,UNIT,CITY,DISTRICT,COUNTRY,REGION,POSTCODE,ID
550966,7,Privatweg,,Heilbad Heiligenstadt,,de,,,
228839,6,Schulstraße,,Sachsenbrunn,,de,,,
69789,56/2,Zum Wasserturm,,Schmölln,,de,,,
463649,41,Arnstädter Straße,,Bösleben-Wüllersleben,,de,,,
88132,4,Dinkelweg,,Erfurt,,de,,,
328072,3,Dammweg,,Drei Gleichen,,de,,,
254533,69,Hauptstraße,,Bad Salzungen,,de,,,
19243,27,Söllmnitzer Straße,,Brahmenau,,de,,,
455747,1,Schlössergasse,,Großenehrich,,de,,,
163686,94,Am Kirschgarten,,Mönchenholzhausen,,de,,,
355276,11,Schloßstraße,,Crossen an der Elster,,de,,,
342610,2,Kieserstraße,,Jena,,de,,,
372776,10,Hirtenwiesen,,Tautenhain,,de,,,
172234,3,Teichweg,,Suhl,,de,,,
382487,3,Lemnitzer Straße,,Miesitz,,de,,,
69798,5,Am Teich,,Schmölln,,de,,,
150953,81,Tiefengrubener Straße,,Bad Berka,,de,,,
437911,17,Schulstraße,,Greußen,,de,,,
139358,45,Hauptstraße,,Sömmerda,,de,,,
459997,22,Berggartenweg,,Arnstadt,,de,,,
165604,6,Tröbsdorfer Weg,,Nohra,,de,,,
557122,23,Oberdorf,,Krombach,,de,,,
303275,14,Tonnaer Straße,,Gotha,,de,,,
600752,9,Eichenweg,,Anrode,,de,,,
361875,18,Hermann-Käppler-Platz,,Hermsdorf,,de,,,
422172,17,Rasenweg,,Urbach,,de,,,
360603,7,Crossener Straße,,Heideland,,de,,,
266323,19,Bernhardshaller Straße,,Leimbach,,de,,,
537182,58a,Vor der Heide,,Unterwellenborn,,de,,,
339592,12,Paraschkenmühle,,Jena,,de,,,
249336,40,Erich-Honstein-Straße,,Eisenach,,de,,,
470647,35,Am Schwimmbad,,Großbreitenbach,,de,,,
600476,4,Bei der Kirche,,Anrode,,de,,,
99234,19,Wenigemarkt,,Erfurt,,de,,,
179655,9,Haftalstraße,,Benshausen,,de,,,
417693,23,Salzaer Straße,,Nordhausen,,de,,,
324222,1,Oberer Goldbacher Weg,,Warza,,de,,,
333834,20,Eichendorffweg,,Jena,,de,,,
521562,42,Am Gänsebach,,Rudolstadt,,de,,,
218252,6,Kastanienweg,,Rhönblick,,de,,,
